ID_Transacao,Data_Venda,CPF_Cliente,Tipo_Operacao,Moeda_Estrangeira,Valor_BRL
TRX-000193,2026-05-21,39072651812,Cartão Pré-pago,EUR,7488.59
TRX-000194,2026-05-18,31289540624,Papel Moeda,GBP,8068.27
TRX-000195,2026-05-31,762.589.103-86,Cartão Pré-pago,GBP,14675.39
TRX-000196,2026-06-04,861.923.470-69,Cartão Pré-pago,GBP,8965.77
TRX-000197,2026-05-31,93628510406,Cartão Pré-pago,EUR,705.9
TRX-000198,2026-05-31,13590674261,Papel Moeda,GBP,2972.43
TRX-000199,2026-05-24,513.860.974-20,Remessa Internacional,EUR,5657.38
TRX-000200,2026-06-04,584.612.970-67,Cartão Pré-pago,EUR,6172.99
TRX-000201,2026-06-05,72145803904,Papel Moeda,USD,10148.39
TRX-000202,2026-06-14,345.021.679-16,Remessa Internacional,USD,12273.57
TRX-000203,2026-05-30,295.386.470-92,Remessa Internacional,GBP,6735.52
TRX-000204,2026-06-13,93508174204,Papel Moeda,USD,9276.83
TRX-000205,2026-05-19,382.419.076-13,Papel Moeda,USD,4999.25
TRX-000206,2026-05-27,87612034913,Papel Moeda,USD,5625.18
TRX-000207,2026-05-17,495.103.672-06,Cartão Pré-pago,EUR,12342.83
TRX-000208,2026-05-18,34257160934,Remessa Internacional,USD,1728.02
TRX-000209,2026-05-17,35429816051,Remessa Internacional,EUR,11334.7
TRX-000210,2026-05-17,852.630.791-68,Cartão Pré-pago,GBP,7160.43
TRX-000211,2026-05-30,58360429189,Remessa Internacional,USD,14980.22
TRX-000212,2026-06-05,70945863101,Remessa Internacional,GBP,11368.88
TRX-000213,2026-05-27,67098213586,Remessa Internacional,GBP,13384.92
TRX-000214,2026-06-08,169.534.082-51,Cartão Pré-pago,USD,10271.85
TRX-000215,2026-06-12,84105279360,Papel Moeda,GBP,9782.48
TRX-000216,2026-06-02,92687540374,Cartão Pré-pago,EUR,8346.49
TRX-000217,2026-05-22,37914856282,Remessa Internacional,GBP,728.81
TRX-000218,2026-06-13,97451068285,Papel Moeda,EUR,12085.09
TRX-000219,2026-06-14,74901832603,Papel Moeda,USD,8697.94
TRX-000220,2026-05-24,736.802.154-44,Remessa Internacional,USD,3472.73
TRX-000221,2026-05-28,925.601.748-20,Remessa Internacional,USD,4583.32
TRX-000222,2026-05-30,36720451871,Remessa Internacional,GBP,5872.73
TRX-000223,2026-06-07,69084312740,Cartão Pré-pago,USD,7148.98
TRX-000224,2026-05-29,631.027.954-80,Cartão Pré-pago,EUR,10979.53
TRX-000225,2026-06-08,526.130.879-86,Remessa Internacional,EUR,2550.77
TRX-000226,2026-06-08,794.012.865-58,Cartão Pré-pago,EUR,13769.97
TRX-000227,2026-05-28,90468327169,Remessa Internacional,EUR,593.05
TRX-000228,2026-05-29,750.246.893-56,Papel Moeda,GBP,9336.24
TRX-000229,2026-05-26,423.801.657-26,Cartão Pré-pago,USD,11106.01
TRX-000230,2026-06-01,53214709607,Cartão Pré-pago,EUR,9404.52
TRX-000231,2026-06-09,62503718426,Remessa Internacional,GBP,3162.61
TRX-000232,2026-06-10,270.364.159-16,Cartão Pré-pago,EUR,8610.74
TRX-000233,2026-06-01,709.328.416-78,Papel Moeda,GBP,7383.35
TRX-000234,2026-06-04,970.625.348-38,Cartão Pré-pago,USD,11468.17
TRX-000235,2026-06-11,657.219.038-21,Papel Moeda,USD,7940.49
TRX-000236,2026-05-31,729.518.340-04,Remessa Internacional,USD,13022.8
TRX-000237,2026-06-07,86514072380,Papel Moeda,GBP,14148.28
TRX-000238,2026-05-19,372.601.859-02,Papel Moeda,EUR,7457.43
TRX-000239,2026-05-20,580.612.374-07,Remessa Internacional,GBP,5832.47
TRX-000240,2026-06-02,092.563.847-10,Papel Moeda,USD,5660.49
TRX-000241,2026-05-24,37549261873,Cartão Pré-pago,EUR,8261.23
TRX-000242,2026-05-25,43786521964,Cartão Pré-pago,EUR,13973.18
TRX-000243,2026-06-13,10278436978,Papel Moeda,USD,9826.03
TRX-000244,2026-05-23,183.562.049-33,Remessa Internacional,USD,6521.56
TRX-000245,2026-06-01,249.183.706-40,Remessa Internacional,EUR,1487.35
TRX-000246,2026-05-22,63097418539,Cartão Pré-pago,USD,2575.58
TRX-000247,2026-05-24,810.796.254-02,Cartão Pré-pago,USD,9195.14
TRX-000248,2026-06-06,68950714230,Cartão Pré-pago,USD,13354.63
TRX-000249,2026-05-22,06174598357,Cartão Pré-pago,GBP,4779.08
TRX-000250,2026-06-13,63071258968,Cartão Pré-pago,EUR,13039.29
TRX-000251,2026-05-20,60739154206,Cartão Pré-pago,USD,11625.56
TRX-000252,2026-05-19,56314072808,Papel Moeda,GBP,3516.42
TRX-000253,2026-05-28,420.196.538-42,Remessa Internacional,USD,10742.6
TRX-000254,2026-06-11,435.890.216-24,Remessa Internacional,GBP,4667.33
TRX-000255,2026-05-18,14983072560,Remessa Internacional,EUR,4461.71
TRX-000256,2026-05-21,17405289649,Papel Moeda,USD,9409.56
TRX-000257,2026-06-08,04591372634,Papel Moeda,EUR,7817.25
TRX-000258,2026-06-03,94257183004,Cartão Pré-pago,GBP,8164.87
TRX-000259,2026-06-08,075.934.182-60,Cartão Pré-pago,GBP,14457.26
TRX-000260,2026-06-10,950.846.231-06,Remessa Internacional,GBP,4264.17
TRX-000261,2026-06-01,968.521.473-55,Papel Moeda,EUR,8893.05
TRX-000262,2026-05-25,47098613584,Papel Moeda,USD,6626.91
TRX-000263,2026-05-30,81627350462,Remessa Internacional,USD,14292.22
TRX-000264,2026-06-08,781.960.435-20,Papel Moeda,USD,7892.86
TRX-000265,2026-06-08,412.975.360-61,Papel Moeda,EUR,13907.32
TRX-000266,2026-05-24,32517904634,Remessa Internacional,EUR,2553.03
TRX-000267,2026-06-02,59806342151,Remessa Internacional,GBP,10181.95
TRX-000268,2026-06-02,91387624555,Papel Moeda,USD,9964.14
TRX-000269,2026-05-25,90632487500,Remessa Internacional,EUR,13794.52
TRX-000270,2026-05-27,25089463115,Cartão Pré-pago,USD,9932.37
TRX-000271,2026-05-21,34695817039,Cartão Pré-pago,GBP,13091.06
TRX-000272,2026-06-01,73426105934,Cartão Pré-pago,USD,8053.0
TRX-000273,2026-05-23,478.296.031-03,Papel Moeda,GBP,1957.15
TRX-000274,2026-05-30,60281354707,Remessa Internacional,EUR,5793.19
TRX-000275,2026-06-05,86490135701,Papel Moeda,GBP,7230.76
TRX-000276,2026-06-11,21350684708,Papel Moeda,GBP,2854.81
TRX-000277,2026-05-30,674.059.382-56,Papel Moeda,EUR,5030.65
TRX-000278,2026-05-26,483.691.052-89,Remessa Internacional,EUR,2741.5
TRX-000279,2026-06-10,534.701.869-01,Remessa Internacional,EUR,4118.66
TRX-000280,2026-06-07,745.398.261-82,Papel Moeda,GBP,4493.92
TRX-000281,2026-06-12,85703264910,Remessa Internacional,USD,5913.86
TRX-000282,2026-06-12,253.740.819-50,Cartão Pré-pago,GBP,5440.29
TRX-000283,2026-06-14,60925384747,Remessa Internacional,EUR,10879.56
TRX-000284,2026-05-26,63749802556,Cartão Pré-pago,EUR,9733.22
TRX-000285,2026-05-30,67098154202,Cartão Pré-pago,USD,9647.39
TRX-000286,2026-06-08,16893275455,Cartão Pré-pago,EUR,7618.86
TRX-000287,2026-06-10,68524709383,Papel Moeda,EUR,1407.71
TRX-000288,2026-05-18,32067594125,Cartão Pré-pago,GBP,1524.06
TRX-000289,2026-05-28,739.825.641-82,Remessa Internacional,GBP,13534.56
TRX-000290,2026-05-22,25103479850,Papel Moeda,EUR,9186.69
TRX-000291,2026-05-31,159.738.204-32,Cartão Pré-pago,EUR,12475.78
TRX-000292,2026-06-06,136.947.052-52,Cartão Pré-pago,USD,2035.89
TRX-000293,2026-06-02,21349065889,Cartão Pré-pago,EUR,6129.8
TRX-000294,2026-05-29,41897526067,Papel Moeda,USD,13764.77
TRX-000295,2026-05-31,921.764.308-40,Remessa Internacional,EUR,746.83
TRX-000296,2026-06-09,642.897.105-49,Papel Moeda,EUR,4780.65
TRX-000297,2026-06-05,86920743140,Remessa Internacional,EUR,12250.48
TRX-000298,2026-05-29,48309612796,Papel Moeda,USD,14241.63
TRX-000299,2026-06-01,09178653240,Remessa Internacional,GBP,2507.94
TRX-000300,2026-06-06,014.623.895-89,Papel Moeda,EUR,11833.92
TRX-000301,2026-05-26,02795431661,Remessa Internacional,USD,13525.07
TRX-000302,2026-05-24,420.586.173-71,Remessa Internacional,USD,3629.31
TRX-000303,2026-06-14,516.478.329-00,Remessa Internacional,USD,5266.07
TRX-000304,2026-05-29,841.670.953-00,Cartão Pré-pago,GBP,971.75
TRX-000305,2026-05-23,917.028.356-77,Remessa Internacional,EUR,13975.09
TRX-000306,2026-06-02,463.280.795-83,Papel Moeda,EUR,12391.55
TRX-000307,2026-06-07,42098761511,Cartão Pré-pago,GBP,2260.15
TRX-000308,2026-06-08,54017968201,Papel Moeda,GBP,11990.17
TRX-000309,2026-05-22,76049153299,Cartão Pré-pago,EUR,8948.65
TRX-000310,2026-06-12,180.932.467-03,Papel Moeda,USD,5766.43
TRX-000311,2026-05-27,42360159780,Papel Moeda,GBP,513.94
TRX-000312,2026-06-13,13046278969,Remessa Internacional,GBP,10369.18
TRX-000313,2026-05-21,532.076.981-40,Papel Moeda,EUR,923.08
TRX-000314,2026-06-14,95360817259,Cartão Pré-pago,GBP,4338.06
TRX-000315,2026-05-20,72065489383,Remessa Internacional,EUR,13997.28
TRX-000316,2026-06-13,562.038.947-29,Cartão Pré-pago,USD,8665.22
TRX-000317,2026-06-01,91607824396,Papel Moeda,GBP,10553.65
TRX-000318,2026-06-07,429.875.310-79,Remessa Internacional,EUR,2458.9
TRX-000319,2026-06-08,659.218.304-70,Remessa Internacional,EUR,3552.88
TRX-000320,2026-05-19,30584716290,Papel Moeda,USD,11616.6
TRX-000321,2026-06-05,05143687217,Papel Moeda,GBP,3722.7
TRX-000322,2026-05-18,80269145389,Papel Moeda,EUR,6444.25
TRX-000323,2026-05-26,82345619015,Papel Moeda,EUR,13809.31
TRX-000324,2026-06-07,054.967.823-92,Cartão Pré-pago,USD,11979.11
TRX-000325,2026-06-08,638.402.951-06,Papel Moeda,USD,12914.52
TRX-000326,2026-05-25,68250174976,Papel Moeda,USD,5637.24
TRX-000327,2026-05-23,54038627900,Remessa Internacional,GBP,12444.08
TRX-000328,2026-05-21,273.084.516-07,Cartão Pré-pago,USD,14587.73
TRX-000329,2026-06-07,129.706.453-43,Cartão Pré-pago,EUR,4363.54
TRX-000330,2026-06-08,976.845.031-20,Cartão Pré-pago,USD,12954.42
TRX-000331,2026-05-21,45281076949,Papel Moeda,EUR,10470.59
TRX-000332,2026-06-05,63752480947,Cartão Pré-pago,EUR,1588.55
TRX-000333,2026-06-02,53479028179,Cartão Pré-pago,EUR,8903.65
TRX-000334,2026-05-19,081.792.635-68,Papel Moeda,USD,7002.84
TRX-000335,2026-05-22,71695304810,Remessa Internacional,USD,7237.15
TRX-000336,2026-06-10,689.012.734-03,Papel Moeda,USD,1727.06
TRX-000337,2026-05-23,546.710.382-26,Remessa Internacional,USD,2679.59
TRX-000338,2026-06-14,245.096.831-89,Cartão Pré-pago,GBP,12681.83
TRX-000339,2026-06-01,81057924601,Papel Moeda,EUR,9181.53
TRX-000340,2026-05-25,29516837077,Remessa Internacional,EUR,10440.48
TRX-000341,2026-06-11,819.576.340-57,Remessa Internacional,EUR,2708.26
TRX-000342,2026-06-15,38927106431,Remessa Internacional,GBP,3593.02
TRX-000343,2026-05-30,243.569.710-43,Papel Moeda,GBP,1251.31
TRX-000344,2026-06-11,48170965276,Cartão Pré-pago,GBP,13937.06
TRX-000345,2026-05-26,36571920859,Papel Moeda,GBP,10561.11
TRX-000346,2026-05-31,376.125.089-40,Cartão Pré-pago,EUR,2769.67
TRX-000347,2026-05-17,89152740323,Cartão Pré-pago,GBP,6389.93
TRX-000348,2026-05-21,30456971866,Remessa Internacional,EUR,8225.59
TRX-000349,2026-05-25,84076935101,Cartão Pré-pago,GBP,11361.28
TRX-000350,2026-05-29,139.746.052-07,Remessa Internacional,USD,8518.62
TRX-000351,2026-06-12,92031745670,Cartão Pré-pago,EUR,7582.5
TRX-000352,2026-06-08,98156403215,Papel Moeda,USD,7854.47
TRX-000353,2026-05-20,79108364575,Cartão Pré-pago,USD,7718.77
TRX-000354,2026-05-22,76052418362,Remessa Internacional,GBP,13074.38
TRX-000355,2026-06-11,59710283405,Remessa Internacional,GBP,13804.77
TRX-000356,2026-06-09,83701954232,Cartão Pré-pago,GBP,7830.09
TRX-000357,2026-05-24,03728465992,Papel Moeda,USD,10787.24
TRX-000358,2026-06-10,071.549.832-05,Papel Moeda,GBP,2076.78
TRX-000359,2026-06-05,83421650942,Cartão Pré-pago,GBP,12370.64
TRX-000360,2026-06-05,06428195305,Papel Moeda,EUR,511.87
TRX-000361,2026-05-21,398.706.542-74,Papel Moeda,USD,10902.26
TRX-000362,2026-05-18,879.461.530-66,Cartão Pré-pago,EUR,872.75
